model,model_display,prompt_idx,temperature,n_trials,raw_ndcg@10_mean,raw_ndcg@10_std,strict_ndcg@10_mean,strict_ndcg@10_std,candidate_valid_rate@10_mean,raw_jaccard_distance@10,strict_jaccard_distance@10,raw_list_position_distance@10,strict_list_position_distance@10,raw_exact_list_agreement@10,strict_exact_list_agreement@10,raw_item_coverage@10,raw_unique_items@10,raw_avg_popularity@10,raw_catalog_match_rate@10,strict_item_coverage@10,strict_unique_items@10,strict_avg_popularity@10,strict_catalog_match_rate@10,raw_ndcg@10_cv,strict_ndcg@10_cv
Gemma-2-9B,Gemma-2-9B,181,0.5,20,0.0,0.0,0.0,0.0,0.38000000000000006,0.18059659638607006,0.2796491228070175,0.4426315789473684,0.16999999999999998,0.3473684210526316,0.3526315789473684,0.002021952628538417,14.0,33.67861111111112,0.9650000000000001,0.0011554015020219526,8.0,2.7708333333333335,0.38000000000000006,,
Gemma-2-9B,Gemma-2-9B,181,1.0,20,0.0,0.0,0.0,0.0,0.36500000000000005,0.5909162573752357,0.8897214627477786,0.8752631578947369,0.4557894736842105,0.0,0.005263157894736842,0.005632582322357019,39.0,38.48194444444445,0.8800000000000001,0.00462160600808781,32.0,14.769973544973546,0.35,,
Gemma-2-9B,Gemma-2-9B,181,2.0,20,0.0,0.0,0.0,0.0,0.145,0.9789902155129464,0.8559440267335003,0.8994736842105263,0.22894736842105262,0.0,0.12105263157894737,0.0031773541305603697,22.0,30.821568627450983,0.25,0.002310803004043905,16.0,11.284615384615384,0.135,,
Gemma-2-9B,Gemma-2-9B,197,0.0,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0012998266897746968,9.0,29.222222222222218,0.8999999999999998,0.0012998266897746968,9.0,29.222222222222218,0.8999999999999998,,
Gemma-2-9B,Gemma-2-9B,197,0.5,20,0.0,0.0,0.0,0.0,0.985,0.54257795008569,0.5338712049044867,0.8131578947368423,0.81,0.0,0.0,0.004043905257076834,28.0,28.20444444444444,0.9649999999999999,0.00389948006932409,27.0,28.35027777777778,0.9599999999999997,,
Gemma-2-9B,Gemma-2-9B,197,1.0,20,0.0,0.0,0.0,0.0,0.9099999999999999,0.710535348950291,0.6768828449672104,0.9415789473684212,0.8984210526315789,0.0,0.0,0.005632582322357019,39.0,29.750436507936506,0.8799999999999999,0.004910456383593298,34.0,28.902321428571433,0.845,,
Gemma-2-9B,Gemma-2-9B,197,2.0,20,0.0,0.0,0.0,0.0,0.17500000000000002,0.9875069616531243,0.8305367585630743,0.9521052631578946,0.2847368421052632,0.0,0.15263157894736842,0.0034662045060658577,24.0,34.09569597069597,0.18500000000000003,0.0031773541305603697,22.0,16.82986111111111,0.17500000000000002,,
Gemma-2-9B,Gemma-2-9B,367,0.0,20,0.0,0.0,0.0,0.0,0.8999999999999998,0.11228070175438598,0.12248803827751197,0.13473684210526315,0.13473684210526315,0.6631578947368421,0.6631578947368421,0.0011554015020219526,8.0,4.885714285714286,0.6199999999999999,0.0011554015020219526,8.0,4.885714285714286,0.6199999999999999,,
Gemma-2-9B,Gemma-2-9B,367,0.5,20,0.0,0.0,0.0,0.0,0.9299999999999999,0.40933645302066357,0.3882184774290037,0.6257894736842106,0.5831578947368422,0.0,0.0,0.0025996533795493936,18.0,5.144345238095237,0.6449999999999999,0.0025996533795493936,18.0,5.144345238095237,0.6449999999999999,,
Gemma-2-9B,Gemma-2-9B,367,1.0,20,0.0,0.0,0.0,0.0,0.9099999999999998,0.5262022188337978,0.4769068650647597,0.7236842105263158,0.6815789473684211,0.0,0.0,0.00462160600808781,32.0,5.381726190476191,0.6249999999999999,0.004043905257076834,28.0,5.11452380952381,0.6049999999999999,,
Gemma-2-9B,Gemma-2-9B,367,2.0,20,0.0,0.0,0.0,0.0,0.215,0.9635821693966962,0.8042543859649123,0.9331578947368423,0.28578947368421054,0.0,0.08421052631578947,0.002455228191796649,17.0,18.240000000000002,0.11000000000000001,0.002310803004043905,16.0,17.54,0.10500000000000001,,
Gemma-2-9B,Gemma-2-9B,400,0.0,20,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,0.06736842105263158,0.0,0.6631578947368421,1.0,0.0014442518775274408,10.0,29.200000000000006,1.0,0.0011554015020219526,8.0,23.875,0.8000000000000002,,
Gemma-2-9B,Gemma-2-9B,400,0.5,20,0.019447904718402714,0.05994555965600423,0.022079005517889116,0.0681659236112899,0.805,0.41268205478731795,0.4228495919285393,0.7168421052631578,0.5994736842105263,0.0,0.0,0.0027440785673021376,19.0,32.11638888888889,0.9199999999999999,0.002455228191796649,17.0,27.852916666666676,0.75,3.0823659681590447,3.0873638559517405
Gemma-2-9B,Gemma-2-9B,400,1.0,20,0.01092037184090821,0.04883738755169056,0.011859885638464811,0.05303902098596162,0.6900000000000001,0.7674075058611478,0.7535183822025927,0.9347368421052633,0.7742105263157895,0.0,0.005263157894736842,0.005921432697862507,41.0,26.30170634920635,0.76,0.005199306759098787,36.0,24.318888888888893,0.65,4.4721359549995805,4.472135954999579
Gemma-2-9B,Gemma-2-9B,400,2.0,20,0.0,0.0,0.0,0.0,0.19,0.9671540984136714,0.8067230576441102,0.926842105263158,0.28315789473684216,0.0,0.12105263157894737,0.0025996533795493936,18.0,16.847777777777775,0.195,0.002021952628538417,14.0,17.887179487179488,0.165,,
Gemma-2-9B,Gemma-2-9B,421,0.0,20,0.0,0.0,0.0,0.0,0.8999999999999998,0.0,0.0,0.0,0.0,1.0,1.0,0.0012998266897746968,9.0,10.444444444444446,0.8999999999999998,0.0012998266897746968,9.0,10.444444444444446,0.8999999999999998,,
Gemma-2-9B,Gemma-2-9B,421,0.5,20,0.0,0.0,0.0,0.0,0.8999999999999998,0.49167890932596814,0.4317453672058935,0.7031578947368419,0.6436842105263159,0.005263157894736842,0.005263157894736842,0.003755054881571346,26.0,13.734662698412697,0.9299999999999997,0.0034662045060658577,24.0,11.164900793650796,0.8949999999999999,,
Gemma-2-9B,Gemma-2-9B,421,1.0,20,0.0,0.0,0.0,0.0,0.835,0.7347983059975891,0.706165392485052,0.8142105263157894,0.7342105263157894,0.0,0.0,0.006065857885615251,42.0,15.725853174603177,0.8699999999999999,0.005777007510109763,40.0,11.79420634920635,0.8200000000000001,,
Gemma-2-9B,Gemma-2-9B,421,2.0,20,0.0,0.0,0.0,0.0,0.25,0.9350976105078272,0.7735150375939849,0.9226315789473685,0.28052631578947373,0.0,0.021052631578947368,0.003755054881571346,26.0,9.382456140350877,0.27499999999999997,0.0033217793183131137,23.0,8.27017543859649,0.25,,
Gemma-2-9B,Gemma-2-9B,427,0.0,20,0.0,0.0,0.0,0.0,0.8000000000000002,0.0,0.0,0.0,0.0,1.0,1.0,0.0011554015020219526,8.0,14.5,0.8000000000000002,0.0011554015020219526,8.0,14.5,0.8000000000000002,,
Gemma-2-9B,Gemma-2-9B,427,0.5,20,0.0,0.0,0.0,0.0,0.805,0.628543593918981,0.6627333923386556,0.7778947368421053,0.7136842105263158,0.0,0.0,0.004910456383593298,34.0,19.054126984126988,0.8200000000000001,0.004766031195840554,33.0,17.290079365079364,0.8000000000000002,,
Gemma-2-9B,Gemma-2-9B,427,1.0,20,0.0,0.0,0.0,0.0,0.8149999999999998,0.8133640936309178,0.8306830420181813,0.8973684210526319,0.8331578947368423,0.0,0.0,0.007654534950895436,53.0,15.741190476190477,0.8150000000000001,0.006932409012131715,48.0,13.818928571428572,0.78,,
